,Species,Cluster,Motif,Influe
3342,Human,Erythroid,"(5, 71)",1.0892648999999999
3344,Human,Immune,"(5, 71)",1.1703899
3352,Human,Erythroid,"(5, 72)",1.494646
3362,Human,Erythroid,"(5, 73)",1.7285122
3372,Human,Erythroid,"(5, 74)",1.7501078999999997
3382,Human,Erythroid,"(5, 75)",1.7746547
3384,Human,Immune,"(5, 75)",0.6526983000000001
3392,Human,Erythroid,"(5, 76)",1.8288008999999998
3393,Human,Germ,"(5, 76)",0.51241696
3402,Human,Erythroid,"(5, 77)",1.7376508000000002
3412,Human,Erythroid,"(5, 78)",1.7261104999999999
3422,Human,Erythroid,"(5, 79)",1.7390054
3432,Human,Erythroid,"(5, 80)",1.7901448
3434,Human,Immune,"(5, 80)",0.6899574
3442,Human,Erythroid,"(5, 82)",1.530486
3444,Human,Immune,"(5, 82)",1.1184161
3452,Human,Erythroid,"(5, 83)",1.9302901999999997
3453,Human,Germ,"(5, 83)",0.509203
3464,Human,Immune,"(5, 84)",1.4685528
3472,Human,Erythroid,"(5, 85)",1.8599471
3474,Human,Immune,"(5, 85)",0.50444114
3482,Human,Erythroid,"(5, 87)",1.7479405
3492,Human,Erythroid,"(5, 88)",1.8072735
3502,Human,Erythroid,"(5, 89)",1.7247052
3512,Human,Erythroid,"(5, 90)",1.7104849999999998
3522,Human,Erythroid,"(5, 92)",1.4490517
3523,Human,Germ,"(5, 92)",0.9203659
3532,Human,Erythroid,"(5, 93)",1.765841
3542,Human,Erythroid,"(5, 94)",1.7873246999999999
3552,Human,Erythroid,"(5, 95)",1.7613580000000002
3562,Human,Erythroid,"(5, 96)",1.7511446
3572,Human,Erythroid,"(5, 97)",1.4359419
3574,Human,Immune,"(5, 97)",0.76429904
3582,Human,Erythroid,"(5, 98)",1.7129272
3584,Human,Immune,"(5, 98)",0.7009741
3592,Human,Erythroid,"(5, 99)",1.850845
3602,Human,Erythroid,"(5, 102)",1.6298291999999999
3604,Human,Immune,"(5, 102)",0.6682183
3613,Human,Germ,"(5, 103)",1.3331412
3618,Human,Secretory,"(5, 103)",0.52094054
3622,Human,Erythroid,"(5, 104)",1.7242088
3624,Human,Immune,"(5, 104)",0.5084656
3632,Human,Erythroid,"(5, 105)",1.7779666
3642,Human,Erythroid,"(5, 106)",1.5549322
3652,Human,Erythroid,"(5, 107)",1.745834
3662,Human,Erythroid,"(5, 108)",1.7410115000000002
3672,Human,Erythroid,"(5, 109)",1.6677370999999999
3674,Human,Immune,"(5, 109)",0.60732377
3682,Human,Erythroid,"(5, 110)",1.7400868999999999
3692,Human,Erythroid,"(5, 111)",1.7028131000000002
3702,Human,Erythroid,"(5, 112)",1.7951247
3712,Human,Erythroid,"(5, 113)",1.7971718
3714,Human,Immune,"(5, 113)",0.7028711
3722,Human,Erythroid,"(5, 114)",1.7401779
3732,Human,Erythroid,"(5, 115)",1.1081316
3734,Human,Immune,"(5, 115)",0.8830790000000001
3742,Human,Erythroid,"(5, 116)",1.7204487000000002
3752,Human,Erythroid,"(5, 117)",1.8258302
3754,Human,Immune,"(5, 117)",0.65545416
3762,Human,Erythroid,"(5, 118)",1.7240235000000002
3772,Human,Erythroid,"(5, 119)",1.7758044999999998
3782,Human,Erythroid,"(5, 121)",1.7889046999999998
3792,Human,Erythroid,"(5, 122)",1.7750555000000001
3802,Human,Erythroid,"(5, 123)",1.3303635
3804,Human,Immune,"(5, 123)",0.9239396000000001
3812,Human,Erythroid,"(5, 124)",1.3346632
3813,Human,Germ,"(5, 124)",0.93573
3822,Human,Erythroid,"(5, 126)",1.7334994
3832,Human,Erythroid,"(5, 127)",1.7451415000000001
3850,Human,Endothelial,"(6, 35)",0.82331395
3858,Human,Secretory,"(6, 35)",0.9192720999999999
3864,Human,Immune,"(6, 46)",0.9529822
3870,Human,Endothelial,"(6, 115)",0.7773084
3874,Human,Immune,"(6, 115)",0.5333408000000001
3883,Human,Germ,"(6, 116)",0.95588917
3892,Human,Erythroid,"(8, 10)",1.6351388999999998
3902,Human,Erythroid,"(8, 11)",1.5062143999999997
3912,Human,Erythroid,"(8, 12)",1.6083957
3922,Human,Erythroid,"(8, 13)",1.7009892
3932,Human,Erythroid,"(8, 14)",1.0238498
3944,Human,Immune,"(8, 15)",0.5773315
3952,Human,Erythroid,"(8, 16)",1.6594634
3962,Human,Erythroid,"(8, 17)",1.5601658999999999
3972,Human,Erythroid,"(8, 18)",1.6984370999999998
3982,Human,Erythroid,"(8, 19)",1.5441281
3992,Human,Erythroid,"(8, 20)",1.7211791
4000,Human,Endothelial,"(8, 21)",0.69178724
4005,Human,Muscle,"(8, 21)",1.049021
4009,Human,Stromal,"(8, 21)",0.7390753999999999
4012,Human,Erythroid,"(8, 23)",1.4634851
4022,Human,Erythroid,"(8, 24)",1.5765619
4032,Human,Erythroid,"(8, 25)",0.7045336999999999
4033,Human,Germ,"(8, 25)",0.6735813
4039,Human,Stromal,"(8, 25)",0.5838274
4042,Human,Erythroid,"(8, 26)",1.6401213
4052,Human,Erythroid,"(8, 28)",1.47593
4062,Human,Erythroid,"(8, 30)",1.508937
4082,Human,Erythroid,"(8, 33)",1.329696
4090,Human,Endothelial,"(8, 34)",0.5464446999999999
4093,Human,Germ,"(8, 34)",1.1114224
4095,Human,Muscle,"(8, 34)",0.54445946
4098,Human,Secretory,"(8, 34)",0.6965026
4099,Human,Stromal,"(8, 34)",0.7198111999999999
4103,Human,Germ,"(8, 35)",1.1514416
4109,Human,Stromal,"(8, 35)",0.592399
4122,Human,Erythroid,"(8, 37)",1.3924142
4125,Human,Muscle,"(8, 37)",0.52860975
4132,Human,Erythroid,"(8, 38)",1.612914
4142,Human,Erythroid,"(8, 40)",1.4956841
4152,Human,Erythroid,"(8, 41)",0.5880095000000001
4159,Human,Stromal,"(8, 41)",0.6346656999999999
4162,Human,Erythroid,"(8, 42)",1.3704705
4172,Human,Erythroid,"(8, 43)",0.6246196999999999
4179,Human,Stromal,"(8, 43)",0.6920665
4182,Human,Erythroid,"(8, 45)",1.7373848000000003
4192,Human,Erythroid,"(8, 46)",1.7404273000000001
4202,Human,Erythroid,"(8, 47)",1.2832038000000001
4212,Human,Erythroid,"(8, 48)",1.4843518
4222,Human,Erythroid,"(8, 50)",1.554769
4232,Human,Erythroid,"(8, 51)",1.5060554
4242,Human,Erythroid,"(8, 53)",1.658666
4252,Human,Erythroid,"(8, 54)",1.6180084
4262,Human,Erythroid,"(8, 55)",1.4813677
4272,Human,Erythroid,"(8, 56)",1.083742
4279,Human,Stromal,"(8, 56)",0.504462
4282,Human,Erythroid,"(8, 57)",1.4458723
4292,Human,Erythroid,"(8, 58)",1.5276562
4302,Human,Erythroid,"(8, 59)",0.84689754
4312,Human,Erythroid,"(8, 60)",1.3962171
4322,Human,Erythroid,"(8, 61)",1.5764533
4332,Human,Erythroid,"(8, 62)",1.5983684
4345,Human,Muscle,"(8, 63)",0.7798646
4353,Human,Germ,"(8, 64)",0.5683942
4355,Human,Muscle,"(8, 64)",0.9248082000000001
4359,Human,Stromal,"(8, 64)",0.8121904999999999
4362,Human,Erythroid,"(8, 67)",1.3883398999999998
4372,Human,Erythroid,"(8, 69)",0.73907816
4382,Human,Erythroid,"(8, 70)",1.4668791
4399,Human,Stromal,"(8, 71)",0.6027482
4402,Human,Erythroid,"(8, 73)",1.3333108
4412,Human,Erythroid,"(8, 74)",1.5533876
4422,Human,Erythroid,"(8, 75)",1.4872835
4432,Human,Erythroid,"(8, 76)",1.060812
4433,Human,Germ,"(8, 76)",0.73494834
4442,Human,Erythroid,"(8, 77)",1.3259766000000002
4452,Human,Erythroid,"(8, 78)",1.4975986000000001
4462,Human,Erythroid,"(8, 79)",1.6655087
4472,Human,Erythroid,"(8, 80)",1.3297023000000001
4482,Human,Erythroid,"(8, 83)",1.1677871000000002
4483,Human,Germ,"(8, 83)",0.879633
4493,Human,Germ,"(8, 84)",1.037554
4494,Human,Immune,"(8, 84)",0.50697637
4502,Human,Erythroid,"(8, 85)",1.6107056999999998
4512,Human,Erythroid,"(8, 87)",1.3466109
4522,Human,Erythroid,"(8, 88)",1.6404823
4532,Human,Erythroid,"(8, 89)",1.6087347
4542,Human,Erythroid,"(8, 90)",1.6527156000000003
4552,Human,Erythroid,"(8, 92)",0.6306229999999999
4553,Human,Germ,"(8, 92)",0.8920094000000001
4562,Human,Erythroid,"(8, 93)",1.5757063999999998
4572,Human,Erythroid,"(8, 94)",0.93517333
4579,Human,Stromal,"(8, 94)",0.53092384
4582,Human,Erythroid,"(8, 95)",1.6829878
4592,Human,Erythroid,"(8, 96)",1.4055254
4602,Human,Erythroid,"(8, 97)",0.9267588
4609,Human,Stromal,"(8, 97)",0.6312977
4612,Human,Erythroid,"(8, 98)",1.6927038
4622,Human,Erythroid,"(8, 99)",1.6461724999999998
4632,Human,Erythroid,"(8, 102)",1.5871547
4643,Human,Germ,"(8, 103)",1.0634518999999998
4649,Human,Stromal,"(8, 103)",0.69680625
4652,Human,Erythroid,"(8, 104)",1.6613256999999997
4662,Human,Erythroid,"(8, 105)",1.5289515
4672,Human,Erythroid,"(8, 107)",1.6235876
4682,Human,Erythroid,"(8, 108)",1.1881859
4692,Human,Erythroid,"(8, 109)",1.6202219999999998
4702,Human,Erythroid,"(8, 110)",1.5683093000000001
4712,Human,Erythroid,"(8, 111)",1.3142083999999998
4717,Human,Proliferating,"(8, 111)",0.50554067
4722,Human,Erythroid,"(8, 112)",1.5729533000000002
4732,Human,Erythroid,"(8, 114)",1.4119591999999999
4733,Human,Germ,"(8, 114)",0.50444835
4742,Human,Erythroid,"(8, 115)",1.3981295
4752,Human,Erythroid,"(8, 116)",1.7102531000000003
4762,Human,Erythroid,"(8, 117)",1.5200917999999999
4772,Human,Erythroid,"(8, 118)",1.1439493
4782,Human,Erythroid,"(8, 119)",1.5053524999999999
4792,Human,Erythroid,"(8, 121)",1.6437016
4802,Human,Erythroid,"(8, 122)",1.4569860000000001
4812,Human,Erythroid,"(8, 123)",1.3501
4823,Human,Germ,"(8, 124)",0.9850591999999999
4829,Human,Stromal,"(8, 124)",0.6587566
4832,Human,Erythroid,"(8, 126)",1.5238493999999998
4842,Human,Erythroid,"(8, 127)",1.4451346
4864,Human,Immune,"(9, 14)",0.51362246
4892,Human,Erythroid,"(9, 18)",0.7022946
4894,Human,Immune,"(9, 18)",1.0066489
4902,Human,Erythroid,"(9, 20)",1.0141776
4904,Human,Immune,"(9, 20)",0.72709656
4925,Human,Muscle,"(9, 33)",1.1518737
4926,Human,Neuron,"(9, 33)",1.0574676
4929,Human,Stromal,"(9, 33)",0.6846800999999999
4930,Human,Endothelial,"(9, 34)",0.9055555000000001
4938,Human,Secretory,"(9, 34)",0.9489513
4940,Human,Endothelial,"(9, 35)",0.7109433000000001
4943,Human,Germ,"(9, 35)",0.5825511
4948,Human,Secretory,"(9, 35)",0.75098366
4949,Human,Stromal,"(9, 35)",0.620583
4954,Human,Immune,"(9, 45)",0.79879624
4962,Human,Erythroid,"(9, 46)",1.4087319
4964,Human,Immune,"(9, 46)",1.0463599000000001
4980,Human,Endothelial,"(9, 84)",0.6354599
4984,Human,Immune,"(9, 84)",0.59429324
4994,Human,Immune,"(9, 98)",0.65221477
5000,Human,Endothelial,"(9, 109)",0.56669414
5005,Human,Muscle,"(9, 109)",0.6481707
5014,Human,Immune,"(9, 115)",0.9269888000000001
5022,Human,Erythroid,"(9, 116)",1.8208023000000002
5038,Human,Secretory,"(9, 124)",0.82392347
5042,Human,Erythroid,"(10, 11)",1.654216
5043,Human,Germ,"(10, 11)",0.6148733000000001
5062,Human,Erythroid,"(10, 13)",1.7531987
5072,Human,Erythroid,"(10, 14)",1.7435293
5082,Human,Erythroid,"(10, 15)",1.585875
5092,Human,Erythroid,"(10, 16)",1.7393895000000001
5102,Human,Erythroid,"(10, 17)",1.7027880000000002
5112,Human,Erythroid,"(10, 18)",1.7704183
5122,Human,Erythroid,"(10, 19)",1.1840582
5132,Human,Erythroid,"(10, 20)",1.7674031000000003
5142,Human,Erythroid,"(10, 21)",1.5926095
5143,Human,Germ,"(10, 21)",0.60825765
5162,Human,Erythroid,"(10, 24)",1.584438
5182,Human,Erythroid,"(10, 26)",1.7203825000000001
5192,Human,Erythroid,"(10, 33)",1.5735092
5193,Human,Germ,"(10, 33)",0.63006413
5203,Human,Germ,"(10, 34)",1.3732598
5208,Human,Secretory,"(10, 34)",0.60936517
5209,Human,Stromal,"(10, 34)",0.5106367
5212,Human,Erythroid,"(10, 35)",0.8847132
5213,Human,Germ,"(10, 35)",1.2147948999999998
5222,Human,Erythroid,"(10, 37)",1.6761177999999999
5252,Human,Erythroid,"(10, 41)",1.2536296999999998
5253,Human,Germ,"(10, 41)",0.6742066
5262,Human,Erythroid,"(10, 42)",1.7241438999999998
5272,Human,Erythroid,"(10, 43)",1.5295493999999998
5273,Human,Germ,"(10, 43)",0.7904357
5282,Human,Erythroid,"(10, 45)",1.7902186000000002
5292,Human,Erythroid,"(10, 46)",1.793534
5312,Human,Erythroid,"(10, 48)",0.7943316999999999
5322,Human,Erythroid,"(10, 50)",1.6311141000000002
5332,Human,Erythroid,"(10, 51)",1.6559616000000001
5342,Human,Erythroid,"(10, 53)",1.721255
5352,Human,Erythroid,"(10, 54)",1.634887
5362,Human,Erythroid,"(10, 55)",1.6595984000000001
5372,Human,Erythroid,"(10, 56)",1.6562432
5373,Human,Germ,"(10, 56)",0.69844913
5382,Human,Erythroid,"(10, 57)",1.7109337
5383,Human,Germ,"(10, 57)",0.6356823
5392,Human,Erythroid,"(10, 58)",1.6559403999999998
5402,Human,Erythroid,"(10, 60)",1.7189014
5412,Human,Erythroid,"(10, 61)",0.89294547
5422,Human,Erythroid,"(10, 62)",1.6836121
5423,Human,Germ,"(10, 62)",0.5689155
5432,Human,Erythroid,"(10, 63)",1.6497016
5442,Human,Erythroid,"(10, 64)",0.9900707000000001
5443,Human,Germ,"(10, 64)",0.89256877
5452,Human,Erythroid,"(10, 74)",1.4087551999999999
5462,Human,Erythroid,"(10, 75)",1.6742939
5472,Human,Erythroid,"(10, 76)",1.5480988000000002
5473,Human,Germ,"(10, 76)",0.8800711999999999
5482,Human,Erythroid,"(10, 77)",1.2540046
5502,Human,Erythroid,"(10, 79)",1.7247373
5512,Human,Erythroid,"(10, 80)",1.6457702
5513,Human,Germ,"(10, 80)",0.6304016
5522,Human,Erythroid,"(10, 83)",1.5415123
5523,Human,Germ,"(10, 83)",0.9515636000000001
5532,Human,Erythroid,"(10, 84)",1.390479
5533,Human,Germ,"(10, 84)",1.2610079
5542,Human,Erythroid,"(10, 85)",1.6923584999999999
5562,Human,Erythroid,"(10, 88)",1.6796373
5572,Human,Erythroid,"(10, 89)",1.7048217
5582,Human,Erythroid,"(10, 90)",1.7300955000000002
5592,Human,Erythroid,"(10, 92)",1.1010243
5593,Human,Germ,"(10, 92)",0.96857303
5602,Human,Erythroid,"(10, 93)",1.4213243
5612,Human,Erythroid,"(10, 94)",1.4465443
5613,Human,Germ,"(10, 94)",0.64199895
5622,Human,Erythroid,"(10, 95)",1.7236707999999998
5632,Human,Erythroid,"(10, 97)",1.4402233
5642,Human,Erythroid,"(10, 98)",1.7576133999999999
5652,Human,Erythroid,"(10, 99)",1.7306501
5662,Human,Erythroid,"(10, 102)",1.7453459999999998
5672,Human,Erythroid,"(10, 103)",0.5098307
5673,Human,Germ,"(10, 103)",1.1752216999999998
5682,Human,Erythroid,"(10, 104)",1.7278656000000003
5692,Human,Erythroid,"(10, 105)",1.4321513000000001
5702,Human,Erythroid,"(10, 107)",1.5125427
5712,Human,Erythroid,"(10, 108)",1.5227805
5722,Human,Erythroid,"(10, 109)",1.7121484
5732,Human,Erythroid,"(10, 110)",1.537048
5762,Human,Erythroid,"(10, 114)",0.5951169
5772,Human,Erythroid,"(10, 115)",1.7266392
5782,Human,Erythroid,"(10, 116)",1.7515459
5792,Human,Erythroid,"(10, 119)",0.6509418
5802,Human,Erythroid,"(10, 121)",1.6066204
5812,Human,Erythroid,"(10, 122)",1.6472148999999998
5822,Human,Erythroid,"(10, 123)",1.7718918000000001
5832,Human,Erythroid,"(10, 124)",1.0609601999999998
5833,Human,Germ,"(10, 124)",1.0601808000000001
5852,Human,Erythroid,"(10, 127)",1.5280688999999998
5872,Human,Erythroid,"(11, 13)",1.9157293999999998
5884,Human,Immune,"(11, 14)",0.74950725
5894,Human,Immune,"(11, 15)",0.59873575
5902,Human,Erythroid,"(11, 16)",1.1051738000000002
5903,Human,Germ,"(11, 16)",0.6496378
5912,Human,Erythroid,"(11, 17)",1.5227829
5922,Human,Erythroid,"(11, 18)",1.7530662000000001
5924,Human,Immune,"(11, 18)",0.8180498
5933,Human,Germ,"(11, 19)",1.3279678999999998
5942,Human,Erythroid,"(11, 20)",1.9067096999999997
5950,Human,Endothelial,"(11, 21)",0.7087017
5972,Human,Erythroid,"(11, 24)",1.3716025
5973,Human,Germ,"(11, 24)",0.9264064000000001
5976,Human,Neuron,"(11, 24)",0.55659354
5980,Human,Endothelial,"(11, 25)",0.5437843000000001
5983,Human,Germ,"(11, 25)",0.99622715
5988,Human,Secretory,"(11, 25)",0.5852944999999999
5989,Human,Stromal,"(11, 25)",0.613233
5992,Human,Erythroid,"(11, 26)",1.0172042
5993,Human,Germ,"(11, 26)",0.53068835
6012,Human,Erythroid,"(11, 33)",0.8281969000000001
6013,Human,Germ,"(11, 33)",1.1687486
6020,Human,Endothelial,"(11, 34)",0.6287621999999999
6023,Human,Germ,"(11, 34)",1.0038966
6028,Human,Secretory,"(11, 34)",0.8577074
6029,Human,Stromal,"(11, 34)",0.57527727
6033,Human,Germ,"(11, 35)",1.3360742
6038,Human,Secretory,"(11, 35)",0.7244480999999999
6039,Human,Stromal,"(11, 35)",0.5664688
6040,Human,Endothelial,"(11, 37)",0.69751155
6045,Human,Muscle,"(11, 37)",0.88006234
6046,Human,Neuron,"(11, 37)",0.66770273
6049,Human,Stromal,"(11, 37)",0.5379311
6063,Human,Germ,"(11, 41)",0.8562958
6069,Human,Stromal,"(11, 41)",0.7741755
6079,Human,Stromal,"(11, 42)",0.8480825000000001
6080,Human,Endothelial,"(11, 43)",0.5721348
6083,Human,Germ,"(11, 43)",0.79825926
6089,Human,Stromal,"(11, 43)",0.64825374
6092,Human,Erythroid,"(11, 45)",1.3607128000000002
6094,Human,Immune,"(11, 45)",0.7893223
6102,Human,Erythroid,"(11, 46)",1.8382455000000002
6104,Human,Immune,"(11, 46)",0.72558385
6113,Human,Germ,"(11, 47)",1.0620067
6118,Human,Secretory,"(11, 47)",0.53162557
6119,Human,Stromal,"(11, 47)",0.5179599
6123,Human,Germ,"(11, 48)",1.2511219
6126,Human,Neuron,"(11, 48)",0.93411887
6128,Human,Secretory,"(11, 48)",0.68128777
6132,Human,Erythroid,"(11, 50)",0.76747334
6136,Human,Neuron,"(11, 50)",0.8165518
6139,Human,Stromal,"(11, 50)",0.60201865
6143,Human,Germ,"(11, 51)",1.1362168
6146,Human,Neuron,"(11, 51)",0.52914923
6152,Human,Erythroid,"(11, 53)",1.8459014
6153,Human,Germ,"(11, 53)",0.5674778
6162,Human,Erythroid,"(11, 54)",0.62443566
6163,Human,Germ,"(11, 54)",0.76389617
6169,Human,Stromal,"(11, 54)",0.5640866
6175,Human,Muscle,"(11, 55)",0.68382734
6176,Human,Neuron,"(11, 55)",0.95736367
6179,Human,Stromal,"(11, 55)",0.7102590999999999
6183,Human,Germ,"(11, 56)",0.6684996
6189,Human,Stromal,"(11, 56)",0.5028979
6193,Human,Germ,"(11, 57)",0.93966764
6199,Human,Stromal,"(11, 57)",0.5528405
6202,Human,Erythroid,"(11, 58)",1.5147226999999999
6206,Human,Neuron,"(11, 58)",0.96567047
6219,Human,Stromal,"(11, 60)",0.64476866
6222,Human,Erythroid,"(11, 61)",1.3053534
6232,Human,Erythroid,"(11, 62)",1.2741004999999999
6233,Human,Germ,"(11, 62)",1.0803042999999999
6240,Human,Endothelial,"(11, 63)",0.6065875
6249,Human,Stromal,"(11, 63)",0.51012486
6250,Human,Endothelial,"(11, 64)",0.68921006
6253,Human,Germ,"(11, 64)",0.79139423
6255,Human,Muscle,"(11, 64)",0.5722611
6258,Human,Secretory,"(11, 64)",0.7282868
6259,Human,Stromal,"(11, 64)",0.7272428000000001
6270,Human,Endothelial,"(11, 71)",0.5045195
6282,Human,Erythroid,"(11, 74)",0.5194372
6283,Human,Germ,"(11, 74)",1.2739610000000001
6286,Human,Neuron,"(11, 74)",0.6016151
6293,Human,Germ,"(11, 75)",0.66268265
6299,Human,Stromal,"(11, 75)",0.7212876
6303,Human,Germ,"(11, 76)",1.3174161
6308,Human,Secretory,"(11, 76)",0.6101739
6309,Human,Stromal,"(11, 76)",0.61887866
6313,Human,Germ,"(11, 77)",1.1653502
6319,Human,Stromal,"(11, 77)",0.5099345999999999
6322,Human,Erythroid,"(11, 79)",1.8208313999999999
6333,Human,Germ,"(11, 80)",0.93763447
6339,Human,Stromal,"(11, 80)",0.6857514
6343,Human,Germ,"(11, 83)",1.2790920000000001
6348,Human,Secretory,"(11, 83)",0.55591273
6349,Human,Stromal,"(11, 83)",0.5540491
6353,Human,Germ,"(11, 84)",0.7423029000000001
6354,Human,Immune,"(11, 84)",0.51271373
6363,Human,Germ,"(11, 85)",0.90463644
6382,Human,Erythroid,"(11, 88)",0.91010714
6383,Human,Germ,"(11, 88)",0.973633
6392,Human,Erythroid,"(11, 89)",1.7063109
6402,Human,Erythroid,"(11, 90)",1.8230534
6413,Human,Germ,"(11, 92)",1.2638375
6418,Human,Secretory,"(11, 92)",0.5518951
6419,Human,Stromal,"(11, 92)",0.57475734
6422,Human,Erythroid,"(11, 93)",1.3756148000000001
6423,Human,Germ,"(11, 93)",1.0127871
6433,Human,Germ,"(11, 94)",0.90006274
6439,Human,Stromal,"(11, 94)",0.7217336999999999
6442,Human,Erythroid,"(11, 95)",1.8427031999999999
6459,Human,Stromal,"(11, 97)",0.69752306
6462,Human,Erythroid,"(11, 98)",1.7423855
6464,Human,Immune,"(11, 98)",0.60425305
6472,Human,Erythroid,"(11, 99)",0.76758677
6473,Human,Germ,"(11, 99)",0.92915976
6482,Human,Erythroid,"(11, 102)",1.4889867
6484,Human,Immune,"(11, 102)",0.5159738
6493,Human,Germ,"(11, 103)",1.1608908000000002
6498,Human,Secretory,"(11, 103)",0.7177408000000001
6499,Human,Stromal,"(11, 103)",0.6732347
6502,Human,Erythroid,"(11, 104)",1.8578616000000001
6512,Human,Erythroid,"(11, 105)",0.51157707
6513,Human,Germ,"(11, 105)",0.95775276
6519,Human,Stromal,"(11, 105)",0.5030914000000001
6522,Human,Erythroid,"(11, 107)",1.6770456000000002
6523,Human,Germ,"(11, 107)",0.6053782
6533,Human,Germ,"(11, 108)",0.9778597
6539,Human,Stromal,"(11, 108)",0.5864745
6542,Human,Erythroid,"(11, 109)",1.4729431
6543,Human,Germ,"(11, 109)",1.0882738
6552,Human,Erythroid,"(11, 110)",0.95342606
6553,Human,Germ,"(11, 110)",0.8089481
6556,Human,Neuron,"(11, 110)",0.5076388
6563,Human,Germ,"(11, 111)",0.5105637
6566,Human,Neuron,"(11, 111)",0.5298661
6573,Human,Germ,"(11, 112)",0.57991755
6583,Human,Germ,"(11, 114)",1.5072958
6592,Human,Erythroid,"(11, 115)",0.78795177
6594,Human,Immune,"(11, 115)",1.1332965
6602,Human,Erythroid,"(11, 116)",1.8383307
6632,Human,Erythroid,"(11, 121)",1.1168738999999999
6633,Human,Germ,"(11, 121)",0.6618050999999999
6643,Human,Germ,"(11, 122)",0.7348752
6649,Human,Stromal,"(11, 122)",0.64488864
6654,Human,Immune,"(11, 123)",0.5133073
6663,Human,Germ,"(11, 124)",1.1758170000000001
6669,Human,Stromal,"(11, 124)",0.6375289000000001
6673,Human,Germ,"(11, 127)",1.1753078000000001
6679,Human,Stromal,"(11, 127)",0.5187385999999999
6682,Human,Erythroid,"(12, 13)",1.7736528000000003
6694,Human,Immune,"(12, 14)",0.69272524
6704,Human,Immune,"(12, 15)",0.56919
6712,Human,Erythroid,"(12, 16)",1.7751092000000002
6714,Human,Immune,"(12, 16)",0.52091855
6722,Human,Erythroid,"(12, 17)",1.6079583
6732,Human,Erythroid,"(12, 18)",1.7634217
6734,Human,Immune,"(12, 18)",0.76695335
6742,Human,Erythroid,"(12, 20)",1.7999212
6744,Human,Immune,"(12, 20)",0.512604
6750,Human,Endothelial,"(12, 21)",0.76724267
6762,Human,Erythroid,"(12, 26)",1.6524721000000002
6772,Human,Erythroid,"(12, 33)",1.4172132
6773,Human,Germ,"(12, 33)",0.80095553
6780,Human,Endothelial,"(12, 34)",0.7123844
6783,Human,Germ,"(12, 34)",0.857883
6788,Human,Secretory,"(12, 34)",0.87496287
6789,Human,Stromal,"(12, 34)",0.5718354999999999
6793,Human,Germ,"(12, 35)",1.2381973
6798,Human,Secretory,"(12, 35)",0.72607327
6799,Human,Stromal,"(12, 35)",0.65253407
6805,Human,Muscle,"(12, 37)",0.6756755999999999
6822,Human,Erythroid,"(12, 45)",1.7686905
6824,Human,Immune,"(12, 45)",1.0036583000000001
6832,Human,Erythroid,"(12, 46)",1.8347895
6834,Human,Immune,"(12, 46)",0.7141371
6842,Human,Erythroid,"(12, 53)",1.694849
6855,Human,Muscle,"(12, 55)",0.58044505
6856,Human,Neuron,"(12, 55)",0.94796896
6860,Human,Endothelial,"(12, 56)",0.5631175
6864,Human,Immune,"(12, 56)",0.65750486
6900,Human,Endothelial,"(12, 64)",0.72095907
6905,Human,Muscle,"(12, 64)",0.8214514
6908,Human,Secretory,"(12, 64)",0.992502
6912,Human,Erythroid,"(12, 79)",1.7134068999999998
6920,Human,Endothelial,"(12, 80)",1.0013741
6925,Human,Muscle,"(12, 80)",0.85498744
6929,Human,Stromal,"(12, 80)",0.5792503000000001
6933,Human,Germ,"(12, 83)",1.1586528
6938,Human,Secretory,"(12, 83)",0.6188895999999999
6939,Human,Stromal,"(12, 83)",0.5554323
6944,Human,Immune,"(12, 84)",0.74353033
6963,Human,Germ,"(12, 92)",0.77779114
6982,Human,Erythroid,"(12, 98)",1.7493136000000002
6984,Human,Immune,"(12, 98)",0.70119333
6992,Human,Erythroid,"(12, 102)",1.0489507
7003,Human,Germ,"(12, 103)",1.1924216
7008,Human,Secretory,"(12, 103)",0.8894896000000001
7009,Human,Stromal,"(12, 103)",0.63315105
7012,Human,Erythroid,"(12, 104)",1.719126
7022,Human,Erythroid,"(12, 109)",1.6269983000000001
7032,Human,Erythroid,"(12, 115)",1.2480428
7034,Human,Immune,"(12, 115)",0.9522337
7042,Human,Erythroid,"(12, 116)",1.8196483
